index,timestamp_start,timestamp_end,seconds,f_stop,shutter_speed,iso,ev,height_m,distance_m,horizontal_speed_ms,descent_speed_ms,longitude,latitude,zoom
1,"00:00:00,000","00:00:00,533",0.0,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
2,"00:00:00,533","00:00:01,066",0.533,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
3,"00:00:01,066","00:00:01,599",1.066,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
4,"00:00:01,599","00:00:02,132",1.599,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
5,"00:00:02,132","00:00:02,665",2.132,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
6,"00:00:02,665","00:00:03,198",2.665,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
7,"00:00:03,198","00:00:03,731",3.198,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
8,"00:00:03,731","00:00:04,264",3.731,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
9,"00:00:04,264","00:00:04,797",4.264,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
10,"00:00:04,797","00:00:05,331",4.797,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
11,"00:00:05,331","00:00:05,864",5.331,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
12,"00:00:05,864","00:00:06,397",5.864,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
13,"00:00:06,397","00:00:06,930",6.397,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
14,"00:00:06,930","00:00:07,463",6.93,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
15,"00:00:07,463","00:00:07,996",7.463,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
16,"00:00:07,996","00:00:08,529",7.996,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
17,"00:00:08,529","00:00:09,062",8.529,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
18,"00:00:09,062","00:00:09,595",9.062,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
19,"00:00:09,595","00:00:10,129",9.595,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
20,"00:00:10,129","00:00:10,662",10.129,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
21,"00:00:10,662","00:00:11,195",10.662,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
22,"00:00:11,195","00:00:11,728",11.195,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
23,"00:00:11,728","00:00:12,261",11.728,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
24,"00:00:12,261","00:00:12,794",12.261,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
25,"00:00:12,794","00:00:13,327",12.794,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
26,"00:00:13,327","00:00:13,860",13.327,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
27,"00:00:13,860","00:00:14,393",13.86,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
28,"00:00:14,393","00:00:14,926",14.393,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
29,"00:00:14,926","00:00:15,460",14.926,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
30,"00:00:15,460","00:00:15,993",15.46,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
31,"00:00:15,993","00:00:16,526",15.993,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
32,"00:00:16,526","00:00:17,059",16.526,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
33,"00:00:17,059","00:00:17,592",17.059,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
34,"00:00:17,592","00:00:18,125",17.592,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
35,"00:00:18,125","00:00:18,658",18.125,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
36,"00:00:18,658","00:00:19,191",18.658,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
37,"00:00:19,191","00:00:19,724",19.191,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
38,"00:00:19,724","00:00:20,258",19.724,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
39,"00:00:20,258","00:00:20,791",20.258,1.8,1/700,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
40,"00:00:20,791","00:00:21,324",20.791,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
41,"00:00:21,324","00:00:21,857",21.324,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
42,"00:00:21,857","00:00:22,390",21.857,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
43,"00:00:22,390","00:00:22,923",22.39,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
44,"00:00:22,923","00:00:23,456",22.923,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
45,"00:00:23,456","00:00:23,989",23.456,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
46,"00:00:23,989","00:00:24,522",23.989,1.8,1/727,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
47,"00:00:24,522","00:00:25,056",24.522,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
48,"00:00:25,056","00:00:25,589",25.056,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
49,"00:00:25,589","00:00:26,122",25.589,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
50,"00:00:26,122","00:00:26,655",26.122,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
51,"00:00:26,655","00:00:27,188",26.655,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
52,"00:00:27,188","00:00:27,721",27.188,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
53,"00:00:27,721","00:00:28,254",27.721,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
54,"00:00:28,254","00:00:28,787",28.254,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
55,"00:00:28,787","00:00:29,320",28.787,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
56,"00:00:29,320","00:00:29,853",29.32,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
57,"00:00:29,853","00:00:30,387",29.853,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
58,"00:00:30,387","00:00:30,920",30.387,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
59,"00:00:30,920","00:00:31,453",30.92,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
60,"00:00:31,453","00:00:31,986",31.453,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
61,"00:00:31,986","00:00:32,519",31.986,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
62,"00:00:32,519","00:00:33,052",32.519,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
63,"00:00:33,052","00:00:33,585",33.052,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
64,"00:00:33,585","00:00:34,118",33.585,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
65,"00:00:34,118","00:00:34,651",34.118,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
66,"00:00:34,651","00:00:35,185",34.651,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
67,"00:00:35,185","00:00:35,718",35.185,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
68,"00:00:35,718","00:00:36,251",35.718,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
69,"00:00:36,251","00:00:36,784",36.251,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
70,"00:00:36,784","00:00:37,317",36.784,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
71,"00:00:37,317","00:00:37,850",37.317,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
72,"00:00:37,850","00:00:38,383",37.85,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
73,"00:00:38,383","00:00:38,916",38.383,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
74,"00:00:38,916","00:00:39,449",38.916,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
75,"00:00:39,449","00:00:39,982",39.449,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
76,"00:00:39,982","00:00:40,516",39.982,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
77,"00:00:40,516","00:00:41,049",40.516,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
78,"00:00:41,049","00:00:41,582",41.049,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
79,"00:00:41,582","00:00:42,115",41.582,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
80,"00:00:42,115","00:00:42,648",42.115,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
81,"00:00:42,648","00:00:43,181",42.648,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
82,"00:00:43,181","00:00:43,714",43.181,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
83,"00:00:43,714","00:00:44,247",43.714,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
84,"00:00:44,247","00:00:44,780",44.247,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
85,"00:00:44,780","00:00:45,314",44.78,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
86,"00:00:45,314","00:00:45,847",45.314,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
87,"00:00:45,847","00:00:46,380",45.847,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
88,"00:00:46,380","00:00:46,913",46.38,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
89,"00:00:46,913","00:00:47,446",46.913,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
90,"00:00:47,446","00:00:47,979",47.446,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
91,"00:00:47,979","00:00:48,512",47.979,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
92,"00:00:48,512","00:00:49,045",48.512,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
93,"00:00:49,045","00:00:49,578",49.045,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
94,"00:00:49,578","00:00:50,112",49.578,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
95,"00:00:50,112","00:00:50,645",50.112,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
96,"00:00:50,645","00:00:51,178",50.645,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
97,"00:00:51,178","00:00:51,711",51.178,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
98,"00:00:51,711","00:00:52,244",51.711,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
99,"00:00:52,244","00:00:52,777",52.244,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
100,"00:00:52,777","00:00:53,310",52.777,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
101,"00:00:53,310","00:00:53,843",53.31,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
102,"00:00:53,843","00:00:54,376",53.843,1.8,1/750,113,0.0,0.0,0.0,0.0,0.0,-119.937027,37.568779,1.5
